coefs =  14 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:19:36 CEST 2020: classerr --- nerr=39 ntot=785 error_rate=4.97% mié may 6 17:19:36 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:20:28 CEST 2020: classerr --- nerr=38 ntot=785 error_rate=4.84% mié may 6 17:20:28 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:21:24 CEST 2020: classerr --- nerr=39 ntot=785 error_rate=4.97% mié may 6 17:21:24 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:22:20 CEST 2020: classerr --- nerr=41 ntot=785 error_rate=5.22% mié may 6 17:22:20 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:23:16 CEST 2020: classerr --- nerr=44 ntot=785 error_rate=5.61% mié may 6 17:23:16 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:24:18 CEST 2020: classerr --- nerr=39 ntot=785 error_rate=4.97% mié may 6 17:24:18 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:25:27 CEST 2020: classerr --- nerr=62 ntot=785 error_rate=7.90% mié may 6 17:25:27 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:26:43 CEST 2020: classerr --- nerr=76 ntot=785 error_rate=9.68% mié may 6 17:26:43 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:28:05 CEST 2020: classerr --- nerr=126 ntot=785 error_rate=16.05% mié may 6 17:28:05 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:29:33 CEST 2020: classerr --- nerr=155 ntot=785 error_rate=19.75% mié may 6 17:29:33 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:31:06 CEST 2020: classerr --- nerr=163 ntot=785 error_rate=20.76% mié may 6 17:31:06 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  5 , percent =  mié may 6 17:32:44 CEST 2020: classerr --- nerr=192 ntot=785 error_rate=24.46% mié may 6 17:32:44 CEST 2020: 2025 --- undefined command 2025
coefs =  14 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:33:42 CEST 2020: classerr --- nerr=36 ntot=785 error_rate=4.59% mié may 6 17:33:42 CEST 2020: 2014 --- undefined command 2014
coefs =  15 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:34:45 CEST 2020: classerr --- nerr=32 ntot=785 error_rate=4.08% mié may 6 17:34:45 CEST 2020: 2015 --- undefined command 2015
coefs =  16 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:35:50 CEST 2020: classerr --- nerr=30 ntot=785 error_rate=3.82% mié may 6 17:35:50 CEST 2020: 2016 --- undefined command 2016
coefs =  17 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:36:56 CEST 2020: classerr --- nerr=28 ntot=785 error_rate=3.57% mié may 6 17:36:56 CEST 2020: 2017 --- undefined command 2017
coefs =  18 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:38:05 CEST 2020: classerr --- nerr=40 ntot=785 error_rate=5.10% mié may 6 17:38:05 CEST 2020: 2018 --- undefined command 2018
coefs =  19 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:39:17 CEST 2020: classerr --- nerr=39 ntot=785 error_rate=4.97% mié may 6 17:39:17 CEST 2020: 2019 --- undefined command 2019
coefs =  20 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:40:38 CEST 2020: classerr --- nerr=48 ntot=785 error_rate=6.11% mié may 6 17:40:38 CEST 2020: 2020 --- undefined command 2020
coefs =  21 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:42:06 CEST 2020: classerr --- nerr=60 ntot=785 error_rate=7.64% mié may 6 17:42:06 CEST 2020: 2021 --- undefined command 2021
coefs =  22 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:43:44 CEST 2020: classerr --- nerr=113 ntot=785 error_rate=14.39% mié may 6 17:43:44 CEST 2020: 2022 --- undefined command 2022
coefs =  23 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:45:30 CEST 2020: classerr --- nerr=141 ntot=785 error_rate=17.96% mié may 6 17:45:30 CEST 2020: 2023 --- undefined command 2023
coefs =  24 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:47:20 CEST 2020: classerr --- nerr=199 ntot=785 error_rate=25.35% mié may 6 17:47:20 CEST 2020: 2024 --- undefined command 2024
coefs =  25 , Nfilters =  20 , Ngauss =  6 , percent =  mié may 6 17:49:20 CEST 2020: classerr --- nerr=213 ntot=785 error_rate=27.13% mié may 6 17:49:20 CEST 2020: 2025 --- undefined command 2025
